Level,Date and Time,Source,Event ID,Task Category
Warning,11/9/2025 4:21:52 PM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-9TLL92I\there SID (S-1-5-21-3411010233-2215703566-297523676-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.3636_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,11/9/2025 4:21:28 PM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-9TLL92I\there SID (S-1-5-21-3411010233-2215703566-297523676-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.3636_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Information,11/9/2025 4:18:53 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,11/9/2025 4:16:27 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,11/9/2025 4:15:36 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\there\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information,11/9/2025 4:14:48 PM,Service Control Manager,7040,None,The start type of the Remote Access Connection Manager service was changed from demand start to auto start.
Information,11/9/2025 4:14:48 PM,Service Control Manager,7040,None,The start type of the Remote Access IP ARP Driver service was changed from demand start to auto start.
Information,11/9/2025 4:14:37 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\there\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information,11/9/2025 4:14:24 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\there\AppData\Local\Packages\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information,11/9/2025 4:14:24 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\there\AppData\Local\Packages\microsoft.windowscommunicationsapps_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Warning,11/9/2025 4:14:15 PM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-9TLL92I\there SID (S-1-5-21-3411010233-2215703566-297523676-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.3636_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Information,11/9/2025 4:14:14 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,11/9/2025 4:12:44 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\there\AppData\Local\Packages\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information,11/9/2025 4:12:40 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\there\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information,11/9/2025 4:12:36 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\there\AppData\Local\Packages\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information,11/9/2025 4:12:36 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\there\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information,11/9/2025 4:12:20 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2025‎-‎11‎-‎09T10:42:20.076743700Z from ‎2025‎-‎11‎-‎09T10:42:20.076743700Z.

Change Reason: System time adjusted to the new time zone.
Process: '\Device\HarddiskVolume2\Windows\System32\dllhost.exe' (PID 4588)."
Information,11/9/2025 4:12:20 PM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is -330.
Information,11/9/2025 4:12:20 PM,Microsoft-Windows-Kernel-General,22,(8),The time zone bias has changed to -330 from 480.
Information,11/9/2025 4:12:01 PM,Microsoft-Windows-GroupPolicy,1501,None,The Group Policy settings for the user were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Information,11/9/2025 4:12:01 PM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,11/9/2025 4:11:59 PM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,11/9/2025 4:05:42 PM,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information,11/9/2025 4:01:48 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\defaultuser0\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Error,11/9/2025 4:01:09 PM,Microsoft-Windows-WindowsUpdateClient,20,Windows Update Agent,Installation Failure: Windows failed to install the following update with error 0x8024200B: 2022-11 Update for Windows 10 Version 22H2 for x64-based Systems (KB5020683).
Information,11/9/2025 4:00:28 PM,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information,11/9/2025 4:00:27 PM,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information,11/9/2025 3:59:08 PM,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information,11/9/2025 3:59:06 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 2022-11 Update for Windows 10 Version 22H2 for x64-based Systems (KB5020683)
Information,11/9/2025 3:57:44 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,11/9/2025 3:57:40 PM,Service Control Manager,7040,None,The start type of the Delivery Optimization service was changed from demand start to auto start.
Information,11/9/2025 3:57:33 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\config\DRIVERS was cleared updating 20342 keys and creating 903 modified pages.
Information,11/9/2025 3:55:50 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,11/9/2025 3:54:32 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2025‎-‎11‎-‎09T10:24:32.084497100Z from ‎2025‎-‎11‎-‎09T10:24:32.084497100Z.

Change Reason: System time adjusted to the new time zone.
Process: '\Device\HarddiskVolume2\Windows\System32\CloudExperienceHostBroker.exe' (PID 1624)."
Information,11/9/2025 3:54:32 PM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 480.
Information,11/9/2025 3:54:31 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Default\NTUSER.DAT was cleared updating 575 keys and creating 34 modified pages.
Warning,11/9/2025 3:54:18 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscDataProtection
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,11/9/2025 3:54:13 PM,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information,11/9/2025 3:54:13 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Windows\System32\SMI\Store\Machine\SCHEMA.DAT was cleared updating 15763 keys and creating 2682 modified pages.
Information,11/9/2025 3:54:05 PM,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information,11/9/2025 3:53:59 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\defaultuser0\AppData\Local\Packages\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Warning,11/9/2025 3:53:38 PM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-9TLL92I\defaultuser0 SID (S-1-5-21-3411010233-2215703566-297523676-1000) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.3636_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Information,11/9/2025 3:53:14 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\defaultuser0\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information,11/9/2025 3:52:42 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\defaultuser0\AppData\Local\Packages\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information,11/9/2025 3:52:42 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Windows\AppCompat\Programs\Amcache.hve was cleared updating 0 keys and creating 0 modified pages.
Information,11/9/2025 3:52:29 PM,Microsoft-Windows-GroupPolicy,1501,None,The Group Policy settings for the user were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Information,11/9/2025 3:52:28 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\defaultuser0\AppData\Local\Microsoft\Windows\UsrClass.dat was cleared updating 6 keys and creating 1 modified pages.
Information,11/9/2025 3:52:28 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\defaultuser0\ntuser.dat was cleared updating 584 keys and creating 32 modified pages.
Information,11/9/2025 3:52:28 PM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,11/9/2025 3:52:19 PM,Microsoft-Windows-GroupPolicy,1500,None,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Information,11/9/2025 3:52:17 PM,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information,11/9/2025 3:52:11 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2025‎-‎11‎-‎09T10:22:11.722342000Z from ‎2025‎-‎11‎-‎09T10:22:11.700349100Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume2\Windows\System32\svchost.exe' (PID 1268)."
Information,11/9/2025 3:52:11 PM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 480.
Information,11/9/2025 3:52:11 PM,Microsoft-Windows-TPM-WMI,1281,None,This event triggers the TBS device identifier generation.
Information,11/9/2025 3:52:07 PM,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) did not load: 
dam"
Information,11/9/2025 3:52:06 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Windows\System32\config\COMPONENTS was cleared updating 56474 keys and creating 6504 modified pages.
Information,11/9/2025 3:52:03 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2025‎-‎11‎-‎09T10:22:03.824534800Z from ‎2025‎-‎11‎-‎09T10:22:03.819993900Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume2\Windows\System32\svchost.exe' (PID 1268)."
Information,11/9/2025 3:52:03 PM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 480.
Information,11/9/2025 3:52:03 PM,Microsoft-Windows-Time-Service,35,None,"The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123) with reference id 1096700200. Current local stratum number is 4."
Warning,11/9/2025 3:52:03 PM,Microsoft-Windows-Time-Service,52,None,The time service has set the time with offset 48598 seconds.
Information,11/9/2025 3:52:03 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2025‎-‎11‎-‎09T10:22:03.819993900Z from ‎2025‎-‎11‎-‎09T23:52:01.938861600Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume2\Windows\System32\svchost.exe' (PID 1268)."
Information,11/9/2025 3:52:03 PM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 480.
Information,11/10/2025 5:21:59 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2025‎-‎11‎-‎09T23:51:59.569578000Z from ‎2025‎-‎11‎-‎09T23:51:59.569578000Z.

Change Reason: System time adjusted to the new time zone.
Process: '\Device\HarddiskVolume2\Windows\System32\oobe\msoobe.exe' (PID 1060)."
Information,11/10/2025 5:21:59 AM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 480.
Information,11/10/2025 5:21:55 AM,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123)."
Information,11/10/2025 5:21:54 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'bindflt' (10.0, ‎2016‎-‎11‎-‎30T18:47:51.000000000Z) has successfully loaded and registered with Filter Manager."
Information,11/10/2025 5:21:54 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'storqosflt' (10.0, ‎2007‎-‎04‎-‎09T10:08:30.000000000Z) has successfully loaded and registered with Filter Manager."
Information,11/10/2025 5:21:54 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2084‎-‎11‎-‎24T23:15:59.000000000Z) has successfully loaded and registered with Filter Manager."
Information,11/10/2025 5:21:54 AM,Microsoft-Windows-FilterManager,1,None,"File System Filter 'CldFlt' (Version 10.0, ‎2084‎-‎11‎-‎24T23:15:59.000000000Z) unloaded successfully."
Information,11/10/2025 5:21:54 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2084‎-‎11‎-‎24T23:15:59.000000000Z) has successfully loaded and registered with Filter Manager."
Information,11/10/2025 5:21:54 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'wcifs' (10.0, ‎2004‎-‎03‎-‎22T09:56:15.000000000Z) has successfully loaded and registered with Filter Manager."
Information,11/10/2025 5:21:54 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (10.0, ‎2062‎-‎02‎-‎02T19:11:58.000000000Z) has successfully loaded and registered with Filter Manager."
Information,11/10/2025 5:21:53 AM,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,11/10/2025 5:21:52 AM,Microsoft-Windows-Dhcp-Client,50103,Service State Event,DHCPv4 client registered for shutdown notification
Information,11/10/2025 5:21:52 AM,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,11/10/2025 5:21:37 AM,Microsoft-Windows-Directory-Services-SAM,16983,None,"The security account manager is now logging periodic summary events for remote clients that call legacy password change or set RPC methods.

For more information please see https://go.microsoft.com/fwlink/?linkid=2150956.
"
Information,11/10/2025 5:21:37 AM,Microsoft-Windows-Directory-Services-SAM,16977,None,"The domain is configured with the following minimum password length-related settings.

MinimumPasswordLength: 0

RelaxMinimumPasswordLengthLimits: 0

MinimumPasswordLengthAudit: -1

For more information see https://go.microsoft.com/fwlink/?LinkId=2097191.
"
Information,11/10/2025 5:21:37 AM,Microsoft-Windows-Directory-Services-SAM,16962,None,"Remote calls to the SAM database are being restricted using the default security descriptor: O:SYG:SYD:(A;;RC;;;BA).
For more information please see http://go.microsoft.com/fwlink/?LinkId=787651."
Information,11/10/2025 5:21:36 AM,Microsoft-Windows-Wininit,14,None,"Credential Guard configuration: 0x0, 0"
Information,11/10/2025 5:21:35 AM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 480.
Information,11/10/2025 5:21:34 AM,Microsoft-Windows-Ntfs,98,None,Volume \\?\Volume{8cf873f0-0000-0000-0000-c05d0c000000} (\Device\HarddiskVolume3) is healthy.  No action is needed.
